Altium Designer Pick and Place Locations
D:\localrep\WoTs_Proximo_hardware\Altium\Project Outputs for Proximo\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       13-04-18
Time:       16:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C16","6pF","TopLayer","CAP0603_GCx18_MURATA","-1049.213","-76.330","90","Capacitor NP0 0603 50V"
"C15","100pF","TopLayer","CAP0402_GCx18_Murata","-1236.220","519.685","90","Capacitor 100pF 0402 NP0"
"C14","100pF","TopLayer","CAP0402_GCx18_Murata","-1283.465","519.685","90","Capacitor 100pF 0402 NP0"
"C13","100nF","TopLayer","CAP0603_GCx18_MURATA","-1417.323","359.449","360","Capacitor 0603 100nF"
"C12","6pF","TopLayer","CAP0603_GCx18_MURATA","-1261.811","-70.866","90","Capacitor NP0 0603 50V"
"C11","100nF","TopLayer","CAP0603_GCx18_MURATA","-1308.136","-70.866","90","Capacitor 0603 100nF"
"C10","12pF","TopLayer","CAP0402_GCx15_Murata","-1330.709","507.874","270","Capacitor NP0 0402"
"C7","12pF","TopLayer","CAP0402_GCx15_Murata","-1417.323","283.465","360","Capacitor NP0 0402"
"C6","12pF","TopLayer","CAP0402_GCx15_Murata","-1417.323","318.898","360","Capacitor NP0 0402"
"C8","12pF","TopLayer","CAP0402_GCx15_Murata","-1460.630","418.092","360","Capacitor NP0 0402"
"C3","4.7uF","TopLayer","CAP0603_GR18_MURATA","205.709","857.284","360","Capacitor X5R 0603 Murata"
"J3","79578211","BottomLayer","79578211","-866.142","9.646","90","Battery Holder WA-BCPH, Battery Type: 2450p"
"J2","79578211","BottomLayer","79578211","236.220","9.646","90","Battery Holder WA-BCPH, Battery Type: 2450p"
"A1","Proant2400","TopLayer","PROANT2400","-1190.945","776.968","90","Onboard SMD 2400 MHz Antenna for BLE, WLAN/Wifi"
"C5","100nF","TopLayer","CAP0603_GCx18_MURATA","-468.504","893.701","360","Capacitor 0603 100nF"
"C9","4.7uF","TopLayer","CAP0603_GR18_MURATA","-1370.079","74.803","360","Capacitor X5R 0603 Murata"
"J1","1848642","BottomLayer","PHOENIX_1848642","1141.732","0.000","270","Plug component, Push-in spring connection"
"L2","15nH","TopLayer","WE-MK_0402A","-1471.656","137.358","180","WE-MK Multilayer Ceramic SMD Inductor, size 0402A, 15nH"
"L3","10µH","TopLayer","74479777XXX_0805","-1371.063","137.795","180","WE-PMI Power Multilayer Inductor, L= 10.0µH"
"Q2","BC850CLT1G","TopLayer","SOT23","759.842","-767.716","90","NPN general purpose transistor"
"X1","EXS00A-CS02368   ","TopLayer","NDK-32MHZ-XTAL","-1437.008","515.748","180","NDK  NX3225SA 32MHz Oscillator"
"X2","NX3215SA","TopLayer","XTAL_3215","-1155.118","-47.244","180","XTAL SMD 3215, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"
"U4","TH06","TopLayer","TH06_MODULE","-801.181","-842.520","180","I2C Humidity and Temperature Sensor module"
"C4","1uF","TopLayer","CAP0603_GR18_MURATA","-1452.756","211.829","360","Capacitor 1uF X5R 0603 Murata"
